city,job_score
"South Burlington, VT",66.53
"Columbia, MD",64.01
"Virginia Beach, VA",63.64
"Salt Lake City, UT",63.57
"Boise, ID",62.55
"Scottsdale, AZ",62.15
"Chesapeake, VA",62.07
"Seattle, WA",62.04
"Colorado Springs, CO",60.73
"Plano, TX",60.71
"Portland, ME",60.63
"Madison, WI",60.49
"Chandler, AZ",60.42
"Nashua, NH",60.25
"San Francisco, CA",60.14
"Cheyenne, WY",59.48
"Huntsville, AL",59.24
"Tacoma, WA",59.09
"Charleston, SC",59.03
"Overland Park, KS",58.91
"Lincoln, NE",58.79
"Manchester, NH",58.70
"Austin, TX",58.61
"West Valley City, UT",58.55
"Juneau, AK",58.32
"Des Moines, IA",58.31
"Omaha, NE",58.29
"Lewiston, ME",58.25
"Pittsburgh, PA",58.23
"Knoxville, TN",58.21
"Columbia, SC",58.16
"Tempe, AZ",58.08
"Gilbert, AZ",57.97
"Raleigh, NC",57.83
"San Jose, CA",57.83
"Vancouver, WA",57.74
"San Diego, CA",57.64
"Pearl City, HI",57.55
"Newport News, VA",57.48
"Fremont, CA",57.19
"Durham, NC",57.19
"Cedar Rapids, IA",57.17
"St. Louis, MO",56.78
"Tucson, AZ",56.55
"Richmond, VA",56.11
"Sacramento, CA",56.09
"Fargo, ND",55.90
"Sioux Falls, SD",55.66
"Atlanta, GA",55.66
"Portland, OR",55.62
"St. Petersburg, FL",55.60
"Peoria, AZ",55.59
"Orlando, FL",55.47
"Washington, DC",55.40
"Denver, CO",55.35
"Glendale, AZ",55.11
"Mesa, AZ",55.01
"Rancho Cucamonga, CA",54.95
"Spokane, WA",54.80
"Norfolk, VA",54.71
"Kansas City, MO",54.64
"Tampa, FL",54.55
"Oceanside, CA",54.51
"Burlington, VT",54.42
"Santa Rosa, CA",54.41
"Jacksonville, FL",54.40
"Chattanooga, TN",54.26
"Nampa, ID",54.17
"Grand Prairie, TX",54.07
"Nashville, TN",54.03
"Charlotte, NC",53.78
"Cincinnati, OH",53.64
"Bismarck, ND",53.48
"Phoenix, AZ",53.48
"Aurora, CO",53.26
"Amarillo, TX",53.18
"Irving, TX",53.13
"Jersey City, NJ",52.99
"Salem, OR",52.93
"Reno, NV",52.93
"Louisville, KY",52.83
"Tallahassee, FL",52.81
"Warwick, RI",52.78
"Minneapolis, MN",52.61
"Billings, MT",52.58
"Rochester, NY",52.49
"Port St. Lucie, FL",52.40
"Garland, TX",52.37
"Irvine, CA",52.09
"Huntington Beach, CA",52.05
"Lexington-Fayette, KY",52.04
"Aurora, IL",51.97
"Grand Rapids, MI",51.83
"Little Rock, AR",51.82
"Springfield, MO",51.52
"Wichita, KS",51.41
"Houston, TX",51.41
"Riverside, CA",51.32
"Oklahoma City, OK",51.15
"Fort Worth, TX",51.05
"Cape Coral, FL",51.04
"Greensboro, NC",51.01
"Casper, WY",51.01
"Arlington, TX",50.47
"Ontario, CA",50.42
"St. Paul, MN",50.35
"Fontana, CA",50.33
"Chula Vista, CA",50.30
"Tulsa, OK",50.20
"San Antonio, TX",50.17
"Winston-Salem, NC",50.06
"Dallas, TX",50.06
"Birmingham, AL",50.00
"Rapid City, SD",49.93
"Wilmington, DE",49.79
"Baltimore, MD",49.73
"Missoula, MT",49.69
"Boston, MA",48.89
"Oxnard, CA",48.58
"Columbus, OH",48.38
"Lubbock, TX",48.37
"Bakersfield, CA",48.09
"Anchorage, AK",47.92
"Charleston, WV",47.75
"Buffalo, NY",47.72
"Dover, DE",47.65
"Santa Ana, CA",46.94
"Garden Grove, CA",46.92
"Modesto, CA",46.76
"Yonkers, NY",46.74
"Pembroke Pines, FL",46.62
"Fort Smith, AR",46.51
"Jackson, MS",46.51
"Albuquerque, NM",46.46
"Oakland, CA",46.40
"Fort Wayne, IN",46.38
"Honolulu, HI",46.32
"Anaheim, CA",46.32
"Mobile, AL",46.10
"Corpus Christi, TX",46.09
"Indianapolis, IN",45.83
"Fayetteville, NC",45.53
"Moreno Valley, CA",45.52
"Augusta, GA",45.43
"Fort Lauderdale, FL",45.33
"Worcester, MA",45.26
"Chicago, IL",45.15
"Milwaukee, WI",45.01
"Newark, NJ",44.95
"Huntington, WV",44.94
"El Paso, TX",44.66
"Philadelphia, PA",44.60
"Columbus, GA",44.55
"Akron, OH",44.48
"Baton Rouge, LA",44.33
"Fresno, CA",44.29
"Memphis, TN",44.15
"Montgomery, AL",44.09
"Henderson, NV",43.83
"New York, NY",43.70
"Providence, RI",43.62
"Las Vegas, NV",43.59
"Toledo, OH",43.27
"New Orleans, LA",43.07
"Laredo, TX",42.97
"Long Beach, CA",42.94
"Santa Clarita, CA",42.84
"Stockton, CA",42.77
"Los Angeles, CA",42.62
"Miami, FL",42.20
"Glendale, CA",42.17
"San Bernardino, CA",42.00
"New Haven, CT",41.48
"Cleveland, OH",40.77
"Bridgeport, CT",40.60
"Gulfport, MS",40.52
"Las Cruces, NM",40.15
"North Las Vegas, NV",39.85
"Brownsville, TX",39.47
"Detroit, MI",38.94
"Shreveport, LA",38.55
"Hialeah, FL",38.18
